VENDOR DESCRIPTION,VENDOR ARTICLE NUMBER,IMPA,PRICE
"Thermometer casing 200 mm straight, range 0-100ºC. stem 100 mm. connection 1/2"" BSP ",2711010012,651905,12
"MANOTHERM thermometer casing 200 mm straight, range 0-100ºC. stem 100 mm. connection 1/2"" BSP ",2711010012A_S,651905,28.62
"Thermometer casing 200 mm straight, range 0-100ºC. stem 160 mm. connection 1/2"" BSP ",2711016012,651906,13.5
"MANOTHERM thermometer casing 200 mm straight, range 0-100ºC. stem 160 mm. connection 1/2"" BSP ",2711016012A_S,651906,30.87
"Thermometer casing 200 mm straight, range 0-160ºC. stem 63 mm. connection 1/2"" BSP ",2711606312,651907,11.25
"MANOTHERM thermometer casing 200 mm straight, range 0-160ºC. stem 63 mm. connection 1/2"" BSP ",2711606312A_S,651907,26.37
"Thermometer casing 200 mm straight, range 0-160ºC. stem 100 mm. connection 1/2"" BSP ",2711610012,651908,12
"Thermometer casing 200 mm straight, range 0-160ºC. stem 100 mm. connection 1/2"" BSP ",2711610012_S,651908,12
"MANOTHERM thermometer casing 200 mm straight, range 0-160ºC. stem 100 mm. connection 1/2"" BSP ",2711610012A_S,651908,26.37
"Thermometer casing 200 mm straight, range 0-160ºC. stem 160 mm. connection 1/2"" BSP ",2711616012,651909,13.5
"MANOTHERM thermometer casing 200 mm straight, range 0-160ºC. stem 160 mm. connection 1/2"" BSP ",2711616012A_S,651909,30.87
"Thermometer casing 200 mm straight, range 0-200ºC. stem 63 mm. connection 1/2"" BSP ",2712006312,651910,11.25
"MANOTHERM thermometer casing 200 mm straight, range 0-200ºC. stem 63 mm. connection 1/2"" BSP ",2712006312A_S,651910,26.37
"Thermometer casing 200 mm straight, range 0-200ºC. stem 100 mm. connection 1/2"" BSP ",2712010012,651911,12
"MANOTHERM thermometer casing 200 mm straight, range 0-200ºC. stem 100 mm. connection 1/2"" BSP ",2712010012A_S,651911,26.37
"Thermometer casing 200 mm straight, range 0-200ºC. stem 160 mm. connection 1/2"" BSP ",2712016012,651912,13.5
"MANOTHERM thermometer casing 200 mm straight, range 0-200ºC. stem 160 mm. connection 1/2"" BSP ",2712016012A_S,651912,30.87
"Thermometer casing 200 mm straight, range 0-300ºC. stem 63 mm. connection 1/2"" BSP ",2713006312,651913,22.5
"Thermometer casing 200 mm straight, range 0-300ºC. stem 100 mm. connection 1/2"" BSP ",2713010012,651914,25.5
"Thermometer casing 200 mm straight, range 0-300ºC. stem 160 mm. connection 1/2"" BSP ",2713016012,651915,28.5
"Thermometer casing 200 mm straight, range 0-400ºC. stem 63 mm. connection 1/2"" BSP ",2714006312,651916,27
"Thermometer casing 200 mm straight, range 0-400ºC. stem 100 mm. connection 1/2"" BSP ",2714010012,651917,30
"Thermometer casing 200 mm straight, range 0-500ºC. stem 63 mm. connection 1/2"" BSP ",2715006312,651919,31.5
"Thermometer casing 200 mm straight, range 0-500ºC. stem 100 mm. connection 1/2"" BSP ",2715010012,651920,34.5
"Thermometer casing 200 mm straight, range 0-500ºC. stem 160 mm. connection 1/2"" BSP ",2715016012,651921,37.5
"Thermometer casing 200 mm straight, range 0-600ºC. stem 63 mm. connection 1/2"" BSP ",2716006312,651922,36
"Thermometer casing 200 mm straight, range 0-600ºC. stem 100 mm. connection 1/2"" BSP ",2716010012,651923,33
"Thermometer casing 200 mm straight, range 0-600ºC. stem 160 mm. connection 1/2"" BSP ",2716016012,651924,43.5
"Thermometer casing 200 mm straight, range -60/+40ºC. stem 63 mm. connection 1/2"" BSP ",2716406312,651925,24.38
"MANOTHERM thermometer casing 200 mm straight, range -60/+40ºC. stem 63 mm. connection 1/2"" BSP ",2716406312A_S,651925,31.88
"Thermometer casing 200 mm straight, range -60/+40ºC. stem 100 mm. connection 1/2"" BSP ",2716410012,651926,27.38
"MANOTHERM thermometer casing 200 mm straight, range -60/+40ºC. stem 100 mm. connection 1/2"" BSP ",2716410012A_S,651926,34.88
"Thermometer casing 200 mm straight, range -60/+40ºC. stem 160 mm. connection 1/2"" BSP ",2716416012,651927,30.38
"MANOTHERM thermometer casing 200 mm straight, range -60/+40ºC. stem 160 mm. connection 1/2"" BSP ",2716416012A_S,651927,37.88
"Thermometer casing 200 mm straight, range 0-60ºC. stem 63 mm. connection 1/2"" BSP ",2710606312,651928,11.25
"MANOTHERM thermometer casing 200 mm straight, range 0-60ºC. stem 63 mm. connection 1/2"" BSP ",2710606312A_S,651928,26.37
"Thermometer casing 200 mm straight, range 0-60ºC. stem 100 mm. connection 1/2"" BSP ",2710610012,651929,20.2
"MANOTHERM thermometer casing 200 mm straight, range 0-60ºC. stem 100 mm. connection 1/2"" BSP ",2710610012A_S,651929,26.37
"Thermometer casing 200 mm straight, range 0-60ºC. stem 160 mm. connection 1/2"" BSP ",2710616012,651930,18
"MANOTHERM thermometer casing 200 mm straight, range 0-60ºC. stem 160 mm. connection 1/2"" BSP ",2710616012A_S,651930,30.87
"Thermometer casing 200 mm. straight, range 0-120ºC. stem 63 mm. connection 1/2"" BSP ",2711206312,651931,11.25
"MANOTHERM thermometer casing 200 mm. straight, range 0-120ºC. stem 63 mm. connection 1/2"" BSP ",2711206312A_S,651931,26.37
"Thermometer casing 200 mm straight, range 0-120ºC. stem 100 mm. connection 1/2"" BSP ",2711210012,651932,12
"MANOTHERM thermometer casing 200 mm straight, range 0-120ºC. stem 100 mm. connection 1/2"" BSP ",2711210012A_S,651932,26.37
"Thermometer casing 200 mm straight, range 0-120ºC. stem 160 mm. connection 1/2"" BSP ",2711216012,651933,13.5
"MANOTHERM thermometer casing 200 mm straight, range 0-120ºC. stem 160 mm. connection 1/2"" BSP ",2711216012A_S,651933,30.87
"Thermometer casing 150 mm straight, range -30/+50ºC. stem 63 mm. connection 1/2"" BSP ",2913506312,651941,11.25
"MANOTHERM thermometer casing 150 mm straight, range -30/+50ºC. stem 63 mm. connection 1/2"" BSP ",2913506312A_S,651941,20.12
"Thermometer casing 150 mm straight, range -30/+50ºC. stem 100 mm. connection 1/2"" BSP ",2913510012,651942,12
"MANOTHERM thermometer casing 150 mm straight, range -30/+50ºC. stem 100 mm. connection 1/2"" BSP ",2913510012A_S,651942,24.62
"Thermometer casing 150 mm straight, range -30/+50ºC. stem 160 mm. connection 1/2"" BSP ",2913516012,651943,13.88
"MANOTHERM thermometer casing 150 mm straight, range -30/+50ºC. stem 160 mm. connection 1/2"" BSP ",2913516012A_S,651943,29.16
"Thermometer casing 150 mm straight, range 0-100ºC. stem 63 mm. connection 1/2"" BSP ",2911006312,651944,11.25
"MANOTHERM thermometer casing 150 mm straight, range 0-100ºC. stem 63 mm. connection 1/2"" BSP ",2911006312A_S,651944,25.88
"Thermometer casing 150 mm straight, range 0-100ºC. stem 100 mm. connection 1/2"" BSP ",2911010012,651945,12
"MANOTHERM thermometer casing 150 mm straight, range 0-100ºC. stem 100 mm. connection 1/2"" BSP ",2911010012A_S,651945,27.38
"Thermometer casing 150 mm straight, range 0-100ºC. stem 160 mm. connection 1/2"" BSP ",2911016012,651946,13.88
"MANOTHERM thermometer casing 150 mm straight, range 0-100ºC. stem 160 mm. connection 1/2"" BSP ",2911016012A_S,651946,28.88
"Thermometer casing 150 mm straight, range 0-160ºC. stem 63 mm. connection 1/2"" BSP ",2911606312,651947,11.25
"MANOTHERM thermometer casing 150 mm straight, range 0-160ºC. stem 63 mm. connection 1/2"" BSP ",2911606312A_S,651947,25.88
"Thermometer casing 150 mm straight, range 0-160ºC. stem 100 mm. connection 1/2"" BSP ",2911610012,651948,12
"MANOTHERM thermometer casing 150 mm straight, range 0-160ºC. stem 100 mm. connection 1/2"" BSP ",2911610012A_S,651948,27.38
"Thermometer casing 150 mm straight, range 0-160ºC. stem 160 mm. connection 1/2"" BSP ",2911616012,651949,13.88
"MANOTHERM thermometer casing 150 mm straight, range 0-160ºC. stem 160 mm. connection 1/2"" BSP ",2911616012A_S,651949,29.16
"Thermometer casing 150 mm straight, range 0-200ºC. stem 63 mm. connection 1/2"" BSP ",2912006312,651950,11.25
"MANOTHERM thermometer casing 150 mm straight, range 0-200ºC. stem 63 mm. connection 1/2"" BSP ",2912005012A_S,651950,24.62
"MANOTHERM thermometer casing 150 mm straight, range 0-200ºC. stem 63 mm. connection 1/2"" BSP ",2912006312A_S,651950,25.88
"Thermometer casing 150 mm straight, range 0-200ºC. stem 100 mm. connection 1/2"" BSP ",2912010012,651951,12
"MANOTHERM thermometer casing 150 mm straight, range 0-200ºC. stem 100 mm. connection 1/2"" BSP ",2912010012A_S,651951,27.38
"Thermometer casing 150 mm straight, range 0-200ºC. stem 160 mm. connection 1/2"" BSP ",2912016012,651952,13.88
"MANOTHERM thermometer casing 150 mm straight, range 0-200ºC. stem 160 mm. connection 1/2"" BSP ",2912016012A_S,651952,28.88
"Thermometer casing 150 mm straight, range 0-300ºC. stem 63 mm. connection 1/2"" BSP ",2913006312,651953,24.38
"Thermometer casing 150 mm straight, range 0-400ºC. stem 63 mm. connection 1/2"" BSP ",2914006312,651956,32.78
"Thermometer casing 150 mm straight, range 0-400ºC. stem 100 mm. connection 1/2"" BSP ",2914010012,651957,32.78
"Thermometer casing 150 mm straight, range 0-400ºC. stem 160 mm. connection 1/2"" BSP ",2914016012,651958,34.88
"Thermometer casing 150 mm straight, range 0-500ºC. stem 63 mm. connection 1/2"" BSP ",2915006312,651959,32.78
"Thermometer casing 150 mm straight, range 0-500ºC. stem 100 mm. connection 1/2"" BSP ",2915010012,651960,32.78
"Thermometer casing 150 mm straight, range 0-500ºC. stem 160 mm. connection 1/2"" BSP ",2915016012,651961,37.2
"Thermometer casing 150 mm straight, range 0-600ºC. stem 63 mm. connection 1/2"" BSP ",2916006312,651962,32.78
"Thermometer casing 150 mm straight, range 0-600ºC. stem 100 mm. connection 1/2"" BSP ",2916010012,651963,36.53
"Thermometer casing 150 mm straight, range 0-600ºC. stem 160 mm. connection 1/2"" BSP ",2916016012,651964,39.38
"Thermometer casing 150 mm straight, range 0-60ºC. stem 63 mm. connection 1/2"" BSP ",2910606312,651968,20.63
"MANOTHERM thermometer casing 150 mm straight, range 0-60ºC. stem 63 mm. connection 1/2"" BSP ",2910606312A_S,651968,25.88
"Thermometer casing 150 mm straight, range 0-60ºC. stem 100 mm. connection 1/2"" BSP ",2910610012,651969,22.13
"MANOTHERM thermometer casing 150 mm straight, range 0-60ºC. stem 100 mm. connection 1/2"" BSP ",2910610012A_S,651969,27.38
"Thermometer casing 150 mm straight, range 0-60ºC. stem 160 mm. connection 1/2"" BSP ",2910616012,651970,23.63
"MANOTHERM thermometer casing 150 mm straight, range 0-60ºC. stem 160 mm. connection 1/2"" BSP ",2910616012A_S,651970,28.88
"Thermometer casing 150 mm straight, range 0-120ºC. stem 63 mm. connection 1/2"" BSP ",2911206312,651971,11.25
"MANOTHERM thermometer casing 150 mm straight, range 0-120ºC. stem 63 mm. connection 1/2"" BSP ",2911206312A_S,651971,25.88
"Thermometer casing 150 mm straight, range 0-120ºC. stem 100 mm. connection 1/2"" BSP ",2911210012,651972,12
"MANOTHERM thermometer casing 150 mm straight, range 0-120ºC. stem 100 mm. connection 1/2"" BSP ",2911210012A_S,651972,27.38
"Thermometer casing 150 mm straight, range 0-120ºC. stem 160 mm. connection 1/2"" BSP ",2911216012,651973,13.88
"MANOTHERM thermometer casing 150 mm straight, range 0-120ºC. stem 160 mm. connection 1/2"" BSP ",2911216012A_S,651973,28.88
"Thermometer casing 110 mm. straight, range 0-100ºC. stem 30 mm. connection 1/2"" BSP ",1741003012,651981,9.46
"Thermometer casing 110 mm. straight, range 0-100ºC. stem 30 mm. connection 1/2"" BSP ",1741003012_S,651981,9.46
"MANOTHERM thermometer casing 110 mm. straight, range 0-100ºC. stem 30 mm. connection 1/2"" BSP ",1741003012A_S,651981,24
"Thermometer casing 110 mm. straight, range 0-100ºC. stem 40 mm. connection 1/2"" BSP ",1741004012,651982,9.46
"Thermometer casing 110 mm. straight, range 0-100ºC. stem 40 mm. connection 1/2"" BSP ",1741004012_S,651982,9.46
"MANOTHERM thermometer casing 110 mm. straight, range 0-100ºC. stem 40 mm. connection 1/2"" BSP ",1741004012A_S,651982,24
"Thermometer casing 110 mm. straight, range 0-100ºC. stem 63 mm. connection 1/2"" BSP ",1741006312,651983,9.46
"Thermometer casing 110 mm. straight, range 0-100ºC. stem 63 mm. connection 1/2"" BSP ",1741006312_S,651983,9.46
"MANOTHERM thermometer casing 110 mm. straight, range 0-100ºC. stem 63 mm. connection 1/2"" BSP ",1741006312A_S,651983,24
"Thermometer casing 110 mm. straight, range 0-100ºC. stem 100 mm. connection 1/2"" BSP ",1741010012,651984,9.46
"Thermometer casing 110 mm. straight, range 0-100ºC. stem 100 mm. connection 1/2"" BSP ",1741010012_S,651984,9.46
"MANOTHERM thermometer casing 110 mm. straight, range 0-100ºC. stem 100 mm. connection 1/2"" BSP ",1741010012A_S,651984,23.7
"Thermometer casing 110 mm. straight, range 0-100ºC. stem 160 mm. connection 1/2"" BSP ",1741016012,651985,10.96
"Thermometer casing 110 mm. straight, range 0-100ºC. stem 160 mm. connection 1/2"" BSP ",1741016012_S,651985,10.96
"MANOTHERM thermometer casing 110 mm. straight, range 0-100ºC. stem 160 mm. connection 1/2"" BSP ",1741016012A_S,651985,28.28
"Thermometer casing 110 mm. straight, range 0-200ºC. stem 30 mm. connection 1/2"" BSP ",1742003012,651986,18.38
"Thermometer casing 110 mm. straight, range 0-200ºC. stem 30 mm. connection 1/2"" BSP ",1742003012_S,651986,18.38
"MANOTHERM thermometer casing 110 mm. straight, range 0-200ºC. stem 30 mm. connection 1/2"" BSP ",1742003012A_S,651986,24
"Thermometer casing 110 mm. straight, range 0-200ºC. stem 40 mm. connection 1/2"" BSP ",1742004012,651987,18.38
"MANOTHERM thermometer casing 110 mm. straight, range 0-200ºC. stem 40 mm. connection 1/2"" BSP ",1742004012A_S,651987,24
"Thermometer casing 110 mm. straight, range 0-200ºC. stem 63 mm. connection 1/2"" BSP ",1742006312,651988,18.38
"Thermometer casing 110 mm. straight, range 0-200ºC. stem 63 mm. connection 1/2"" BSP ",1742006312_S,651988,18.38
"MANOTHERM thermometer casing 110 mm. straight, range 0-200ºC. stem 63 mm. connection 1/2"" BSP ",1742006312A_S,651988,24
"Thermometer casing 110 mm. straight, range 0-200ºC. stem 100 mm. connection 1/2"" BSP ",1742010012,651989,19.88
"MANOTHERM thermometer casing 110 mm. straight, range 0-200ºC. stem 100 mm. connection 1/2"" BSP ",1742010012A_S,651989,23.7
"Thermometer casing 110 mm. straight, range 0-200ºC. stem 160 mm. connection 1/2"" BSP ",1742016012,651990,21.38
"MANOTHERM thermometer casing 110 mm. straight, range 0-200ºC. stem 160 mm. connection 1/2"" BSP ",1742016012A_S,651990,28.28
"Thermometer casing 200 mm angle, range -30/+50ºC stem 63 mm. connection 1/2"" BSP ",2723506312,652001,13.88
"MANOTHERM thermometer casing 200 mm angle, range -30/+50ºC stem 63 mm. connection 1/2"" BSP ",2723506312A_S,652001,31.91
"Thermometer casing 200 mm angle, range -30/+50ºC stem 100 mm. connection 1/2"" BSP ",2723510012,652002,10.64
"MANOTHERM thermometer casing 200 mm angle, range -30/+50ºC stem 100 mm. connection 1/2"" BSP ",2723510012A_S,652002,31.91
"Thermometer casing 200 mm angle, range -30/+50ºC stem 160 mm. connection 1/2"" BSP ",2723516012,652003,15.38
"MANOTHERM thermometer casing 200 mm angle, range -30/+50ºC stem 160 mm. connection 1/2"" BSP ",2723516012A_S,652003,36.41
"Thermometer casing 200 mm. angle, range 0-100ºC. stem 63 mm. connection 1/2"" BSP ",2721006312,652004,13.88
"MANOTHERM thermometer casing 200 mm. angle, range 0-100ºC. stem 63 mm. connection 1/2"" BSP ",2721006312A_S,652004,31.91
"Thermometer casing 200 mm. angle, range  0-100ºC. stem 100 mm. connection 1/2"" BSP ",2721010012,652005,13.88
"MANOTHERM thermometer casing 200 mm. angle, range  0-100ºC. stem 100 mm. connection 1/2"" BSP ",2721010012A_S,652005,34.16
"Thermometer casing 200 mm. angle, range 0-100ºC. stem 160 mm. connection 1/2"" BSP ",2721016012,652006,15.38
"MANOTHERM thermometer casing 200 mm. angle, range 0-100ºC. stem 160 mm. connection 1/2"" BSP ",2721016012A_S,652006,36.41
"Thermometer casing 200 mm. angle, range 0-160ºC. stem 63 mm. connection 1/2"" BSP ",2721606312,652007,13.88
"MANOTHERM thermometer casing 200 mm. angle, range 0-160ºC. stem 63 mm. connection 1/2"" BSP ",2721606312A_S,652007,31.91
"Thermometer casing 200 mm. angle, range  0-160ºC. stem 100 mm. connection 1/2"" BSP ",2721610012,652008,13.88
"MANOTHERM thermometer casing 200 mm. angle, range  0-160ºC. stem 100 mm. connection 1/2"" BSP ",2721610012A_S,652008,31.91
"Thermometer casing 200 mm. angle, range 0-160ºC. stem 160 mm. connection 1/2"" BSP ",2721616012,652009,15.38
"MANOTHERM thermometer casing 200 mm. angle, range 0-160ºC. stem 160 mm. connection 1/2"" BSP ",2721616012A_S,652009,36.41
"Thermometer casing 200 mm. angle, range 0-200ºC. stem 63 mm. connection 1/2"" BSP ",2722006312,652010,13.88
"MANOTHERM thermometer casing 200 mm. angle, range 0-200ºC. stem 63 mm. connection 1/2"" BSP ",2722006312A_S,652010,31.91
"Thermometer casing 200 mm. angle, range 0-200ºC. stem 100 mm. connection 1/2"" BSP ",2722010012,652011,13.88
"MANOTHERM thermometer casing 200 mm. angle, range 0-200ºC. stem 100 mm. connection 1/2"" BSP ",2722010012A_S,652011,31.91
"Thermometer casing 200 mm. angle, range 0-200ºC. stem 160 mm. connection 1/2"" BSP ",2722016012,652012,15.38
"MANOTHERM thermometer casing 200 mm. angle, range 0-200ºC. stem 160 mm. connection 1/2"" BSP ",2722016012A_S,652012,36.41
"Thermometer casing 200 mm. angle, range 0-300ºC. stem 63 mm. connection 1/2"" BSP ",2723006312,652013,24.38
"Thermometer casing 200 mm. angle, range 0-500ºC. stem 63 mm. connection 1/2"" BSP ",2725006312,652019,27.38
"Thermometer casing 200 mm. angle, range 0-500ºC. stem 100 mm. connection 1/2"" BSP ",2725010012,652020,30.38
"Thermometer casing 200 mm. angle, range 0-600ºC. stem 63 mm. connection 1/2"" BSP ",2726006312,652022,30.38
"Thermometer casing 200 mm. angle, range 0-600ºC. stem 100 mm. connection 1/2"" BSP ",2726010012,652023,33.38
"Thermometer casing 200 mm. angle, range 0-600ºC. stem 160 mm. connection 1/2"" BSP ",2726016012,652024,36.38
"Thermometer casing 200 mm. angle, range 0-120ºC. stem 63 mm. connection 1/2"" BSP ",2721206312,652031,13.88
"MANOTHERM thermometer casing 200 mm. angle, range 0-120ºC. stem 63 mm. connection 1/2"" BSP ",2721206312A_S,652031,31.91
"Thermometer casing 200 mm. angle, range  0-120ºC. stem 100 mm. connection 1/2"" BSP ",2721210012,652032,13.88
"MANOTHERM thermometer casing 200 mm. angle, range  0-120ºC. stem 100 mm. connection 1/2"" BSP ",2721210012A_S,652032,31.91
"Thermometer casing 200 mm. angle, range 0-120ºC. stem 160 mm. connection 1/2"" BSP ",2721216012,652033,15.38
"MANOTHERM thermometer casing 200 mm. angle, range 0-120ºC. stem 160 mm. connection 1/2"" BSP ",2721216012A_S,652033,36.41
"Thermometer casing 150 mm angle, range -30/+50ºC stem 63 mm. connection 1/2"" BSP ",2923506312,652041,13.13
"MANOTHERM thermometer casing 150 mm angle, range -30/+50ºC stem 63 mm. connection 1/2"" BSP ",2923506312A_S,652041,30.38
"Thermometer casing 150 mm angle, range -30/+50ºC stem 100 mm. connection 1/2"" BSP ",2923510012,652042,14.93
"MANOTHERM thermometer casing 150 mm angle, range -30/+50ºC stem 100 mm. connection 1/2"" BSP ",2923510012A_S,652042,30.38
"Thermometer casing 150 mm angle, range -30/+50ºC stem 160 mm. connection 1/2"" BSP ",2923516012,652043,18.38
"MANOTHERM thermometer casing 150 mm angle, range -30/+50ºC stem 160 mm. connection 1/2"" BSP ",2923516012A_S,652043,36.38
"Thermometer casing 150 mm angle, range 0-100ºC stem 63 mm. connection 1/2"" BSP ",2921006312,652044,13.13
"MANOTHERM thermometer casing 150 mm angle, range 0-60ºC stem 63 mm. connection 1/2"" BSP ",2920606312A_S,652044,30.38
"MANOTHERM thermometer casing 150 mm angle, range 0-100ºC stem 63 mm. connection 1/2"" BSP ",2921006312A_S,652044,30.38
"Thermometer casing 150 mm angle, range 0-100ºC stem 100 mm. connection 1/2"" BSP ",2921010012,652045,14.93
"Thermometer casing 150 mm angle, range 0-100ºC stem 100 mm. connection 1/2"" BSP ",2921010012_S,652045,14.93
"MANOTHERM thermometer casing 150 mm angle, range 0-100ºC stem 100 mm. connection 1/2"" BSP ",2921010012A_S,652045,30.38
"Thermometer casing 150 mm angle, range 0-100ºC stem 160 mm. connection 1/2"" BSP ",2921016012,652046,18.38
"MANOTHERM thermometer casing 150 mm angle, range 0-100ºC stem 160 mm. connection 1/2"" BSP ",2921016012A_S,652046,83.55
"Thermometer casing 150 mm angle, range 0-160ºC stem 63 mm. connection 1/2"" BSP ",2921606312,652047,13.13
"MANOTHERM thermometer casing 150 mm angle, range 0-160ºC stem 63 mm. connection 1/2"" BSP ",2921606312A_S,652047,30.38
"Thermometer casing 150 mm angle, range 0-160ºC stem 100 mm. connection 1/2"" BSP ",2921610012,652048,14.93
"MANOTHERM thermometer casing 150 mm angle, range 0-160ºC stem 100 mm. connection 1/2"" BSP ",2921610012A_S,652048,30.38
"Thermometer casing 150 mm angle, range 0-160ºC stem 160 mm. connection 1/2"" BSP ",2921616012,652049,18.38
"MANOTHERM thermometer casing 150 mm angle, range 0-160ºC stem 160 mm. connection 1/2"" BSP ",2921616012A_S,652049,83.55
"Thermometer casing 150 mm angle, range 0-200ºC stem 63 mm. connection 1/2"" BSP ",2922006312,652050,13.13
"MANOTHERM thermometer casing 150 mm angle, range 0-200ºC stem 63 mm. connection 1/2"" BSP ",2922006312A_S,652050,30.38
"Thermometer casing 150 mm angle, range 0-200ºC stem 100 mm. connection 1/2"" BSP ",2922010012,652051,14.93
"MANOTHERM thermometer casing 150 mm angle, range 0-200ºC stem 100 mm. connection 1/2"" BSP ",2922010012A_S,652051,30.38
"Thermometer casing 150 mm angle, range 0-200ºC stem 160 mm. connection 1/2"" BSP ",2922016012,652052,18.38
"MANOTHERM thermometer casing 150 mm angle, range 0-200ºC stem 160 mm. connection 1/2"" BSP ",2922016012A_S,652052,65.88
"Thermometer casing 150 mm angle, range 0-500ºC stem 63 mm. connection 1/2"" BSP ",2925006312,652059,33.38
"Thermometer casing 150 mm angle, range 0-500ºC stem 100 mm. connection 1/2"" BSP ",2925010012,652060,32.63
"Thermometer casing 150 mm angle, range 0-500ºC stem 100 mm. connection M22 x 1.5 ",29250100M22_S,652060,47.63
"Thermometer casing 150 mm angle, range 0-500ºC stem 160 mm. connection 1/2"" BSP ",2925016012,652061,32.63
"Thermometer casing 150 mm angle, range 0-600ºC stem 63 mm. connection 1/2"" BSP ",2926006312,652062,40.88
"Thermometer casing 150 mm angle, range 0-600ºC stem 100 mm. connection 1/2"" BSP ",2926010012,652063,40.13
"Thermometer casing 150 mm angle, range 0-600ºC stem 160 mm. connection 1/2"" BSP ",2926016012,652064,40.88
"Thermometer casing 150 mm angle, range 0-120ºC stem 63 mm. connection 1/2"" BSP ",2921206312,652071,13.13
"MANOTHERM thermometer casing 150 mm angle, range 0-120ºC stem 63 mm. connection 1/2"" BSP ",2921206312A_S,652071,30.38
"Thermometer casing 150 mm angle, range 0-120ºC stem 100 mm. connection 1/2"" BSP ",2921210012,652072,14.93
"MANOTHERM thermometer casing 150 mm angle, range 0-120ºC stem 100 mm. connection 1/2"" BSP ",2921210012A_S,652072,30.38
"Thermometer casing 150 mm angle, range 0-120ºC stem 160 mm. connection 1/2"" BSP ",2921216012,652073,18.38
"MANOTHERM thermometer casing 150 mm angle, range 0-120ºC stem 160 mm. connection 1/2"" BSP ",2921216012A_S,652073,83.55
"Thermometer casing 110 mm angle, range 0-100ºC. stem 30 mm. connection 1/2"" BSP ",1751003012,652081,10.62
"MANOTHERM thermometer casing 110 mm angle, range 0-100ºC. stem 30 mm. connection 1/2"" BSP ",1751003012A_S,652081,27.36
"Thermometer casing 110 mm angle, range 0-100ºC. stem 40 mm. connection 1/2"" BSP ",1751004012,652082,10.62
"MANOTHERM thermometer casing 110 mm angle, range 0-100ºC. stem 40 mm. connection 1/2"" BSP ",1751004012A_S,652082,27.36
"Thermometer casing 110 mm angle, range 0-100ºC. stem 63 mm. connection 1/2"" BSP ",1751006312,652083,12.87
"MANOTHERM thermometer casing 110 mm angle, range 0-100ºC. stem 63 mm. connection 1/2"" BSP ",1751006312A_S,652083,27.36
"Thermometer casing 110 mm angle, range 0-100ºC. stem 100 mm. connection 1/2"" BSP ",1751010012,652084,12.87
"Thermometer casing 110 mm angle, range 0-100ºC. stem 100 mm. connection 1/2"" BSP ",1751010012_S,652084,12.87
"MANOTHERM thermometer casing 110 mm angle, range 0-100ºC. stem 100 mm. connection 1/2"" BSP ",1751010012A_S,652084,27.36
"Thermometer casing 110 mm angle, range 0-100ºC. stem 160 mm. connection 1/2"" BSP ",1751016012,652085,14.39
"Thermometer casing 110 mm angle, range 0-100ºC. stem 160 mm. connection 1/2"" BSP ",1751016012_S,652085,14.39
"MANOTHERM thermometer casing 110 mm angle, range 0-100ºC. stem 160 mm. connection 1/2"" BSP ",1751016012A_S,652085,31.91
"Thermometer casing 110 mm angle, range 0-200ºC. stem 30 mm. connection 1/2"" BSP ",1752003012,652086,10.88
"Thermometer casing 110 mm angle, range 0-200ºC. stem 30 mm. connection 1/2"" BSP ",1752003012_S,652086,10.88
"MANOTHERM thermometer casing 110 mm angle, range 0-200ºC. stem 30 mm. connection 1/2"" BSP ",1752003012A_S,652086,27.36
"Thermometer casing 110 mm angle, range 0-200ºC. stem 40 mm. connection 1/2"" BSP ",1752004012,652087,10.88
"Thermometer casing 110 mm angle, range 0-200ºC. stem 40 mm. connection 1/2"" BSP ",1752004012_S,652087,10.88
"MANOTHERM thermometer casing 110 mm angle, range 0-200ºC. stem 40 mm. connection 1/2"" BSP ",1752004012A_S,652087,27.36
"Thermometer casing 110 mm angle, range 0-200ºC. stem 63 mm. connection 1/2"" BSP ",1752006312,652088,13.88
"MANOTHERM thermometer casing 110 mm angle, range 0-200ºC. stem 63 mm. connection 1/2"" BSP ",1752006312A_S,652088,27.36
"Thermometer casing 110 mm angle, range 0-200ºC. stem 100 mm. connection 1/2"" BSP ",1752010012,652089,13.88
"MANOTHERM thermometer casing 110 mm angle, range 0-200ºC. stem 100 mm. connection 1/2"" BSP ",1752010012A_S,652089,27.36
"Thermometer casing 110 mm angle, range 0-200ºC. stem 160 mm. connection 1/2"" BSP ",1752016012,652090,15.38
"Thermometer casing 110 mm angle, range 0-200ºC. stem 160 mm. connection 1/2"" BSP ",1752016012_S,652090,15.38
"MANOTHERM thermometer casing 110 mm angle, range 0-200ºC. stem 160 mm. connection 1/2"" BSP ",1752016012A_S,652090,31.91
"Thermometer casing 110 mm. straight, range -30/+50ºC. stem 40 mm. connection 1/2"" BSP ",1743504012_S,652102,8.01
"MANOTHERM thermometer casing 110 mm. straight, range -30/+50ºC. stem 40 mm. connection 1/2"" BSP ",1743504012A_S,652102,23.01
"Thermometer casing 110 mm. straight, range -30/+50ºC. stem 63 mm. connection 1/2"" BSP ",1743506312_S,652103,25.88
"Thermometer casing 110 mm. straight, range -30/+50ºC. stem 100 mm. connection 1/2"" BSP ",1743510012_S,652104,7.9
"Thermometer casing 110 mm. straight, range 0-60ºC. stem 40 mm. connection 1/2"" BSP ",1740604012,652107,8.01
"MANOTHERM thermometer casing 110 mm. straight, range 0-60ºC. stem 40 mm. connection 1/2"" BSP ",1740604012A_S,652107,24
